Wine Title,Province,Region,Suburb,NoOfWineries,RegionPoints,GrapeVariety,NoOfWineriesPlantedByRegion,NoOfWineriesPlantedTotal,Winery,WineryPoints,Address,Winery-long,Winery-lat,Points,Price
Chambers Rosewood Vineyards NV Rare Muscat (Rutherglen),Victoria,Rutherglen,Rutherglen,5,91.17,Muscat,4,4,Chambers Rosewood Vineyards,92.94,"Barkly St, Rutherglen VIC, Australia",146.4641046,-36.046038,100,350
Chambers Rosewood Vineyards NV Rare Muscadelle (Rutherglen),Victoria,Rutherglen,Rutherglen,5,91.17,Muscadelle,1,1,Chambers Rosewood Vineyards,92.94,"Barkly St, Rutherglen VIC, Australia",146.4641046,-36.046038,98,350
Chambers Rosewood Vineyards NV Grand Muscat (Rutherglen),Victoria,Rutherglen,Rutherglen,5,91.17,Muscat,4,4,Chambers Rosewood Vineyards,92.94,"Barkly St, Rutherglen VIC, Australia",146.4641046,-36.046038,97,100
Jasper Hill 2013 Georgia's Paddock Shiraz (Heathcote),Victoria,Heathcote,Ladys Pass,8,90.46,Shiraz,7,27,Jasper Hill,90.89,"88 Drummonds Ln, Ladys Pass VIC 3523",144.660672,-36.853926,95,85
Yeringberg 2013 Viognier (Yarra Valley),Victoria,Yarra Valley,Coldstream,19,88.25,Viognier,1,3,Yeringberg,88.9,"810 Maroondah Hwy, Coldstream VIC 3770",145.37781,-37.72857,92,60
Ben Haines 2015 B Minor Marsanne-Roussanne (Goulburn Valley),Victoria,Yarra Valley,Northcote,19,88.25,Marsanne-Roussanne,2,2,Ben Haines,90,"15B Ellesmere Street, Northcote Vic 3070, Australia",145.00726,-37.77341,87,25
Strathewen Hills 2005 Cabernet Sauvignon (Yarra Valley),Victoria,Yarra Valley,Strathewen,19,88.25,Cabernet Sauvignon,3,6,Strathewen Hills,90,"1090 Strathewen Road, Strathewen VIC 3099, Australia",145.27125,-37.53614,89,30
Marquee 2008 Signature Chardonnay (Yarra Valley),Victoria,Yarra Valley,Coldstream,19,88.25,Chardonnay,11,16,Marquee,85.67,"878-880 Maroondah Hwy, Coldstream VIC 3770",145.4095563,-37.7061012,88,15
Marquee 2008 Classic Chardonnay (Victoria),Victoria,Yarra Valley,Coldstream,19,88.25,Chardonnay,11,16,Marquee,85.67,"878-880 Maroondah Hwy, Coldstream VIC 3770",145.4095563,-37.7061012,86,12
Yering Station 2006 Reserve Pinot Noir (Yarra Valley),Victoria,Yarra Valley,Yarra Glen ,19,88.25,Pinot Noir,10,17,Yering Station,87.53,"38 Melba Highway, Yarra Glen, Vic 3775",145.3744442,-37.6614737,88,60
Innocent Bystander 2011 Moscato (Victoria),Victoria,Yarra Valley,Heales,19,88.25,Moscato,1,1,Innocent Bystander,87.78,"314 Maroondah Highway, Healesville, Vic 3777 ",145.5229,-37.6507,88,14
Taltarni 2004 Cabernet Sauvignon (Pyrenees),Victoria,Pyrenees,Moonambel ,2,88.57,Cabernet Sauvignon,1,6,Taltarni,89.6,"339 Taltarni Road, Moonambel, Vic 3478 ",143.2737355,-36.9681523,89,32
Sticks 2008 Chardonnay (Yarra Valley),Victoria,Yarra Valley,Yarra Glen,19,88.25,Chardonnay,11,16,Sticks,87.5,"206 Yarraview Road, Yarra Glen, Vic 3775",145.3695467,-37.6542231,90,21
Mitchelton 2002 Print Shiraz (Central Victoria),Victoria,Nagambie Lakes,Nagambie,3,88.07,Shiraz,2,27,Mitchelton,89," 470 Mitchellstown Rd, Nagambie VIC 3608",145.097015,-36.853599,89,35
De Bortoli 2006 Estate Grown Pinot Noir (Yarra Valley),Victoria,Yarra Valley,Dixons Creek ,19,88.25,Pinot Noir,10,17,De Bortoli,86.78,"Pinnacle Lane, Dixons Creek, Vic 3775 ",145.3992988,-37.5985954,82,41
Giant Steps 2006 Sexton Vineyard Pinot Noir (Yarra Valley),Victoria,Yarra Valley,Heales,19,88.25,Pinot Noir,10,17,Giant Steps,89.13,"336 Maroondah Highway, Healesville, Vic 3777",145.5227133,-37.6513402,82,30
Yering Station 2000 Chardonnay (Yarra Valley),Victoria,Yarra Valley,Yarra Glen ,19,88.25,Chardonnay,11,16,Yering Station,87.53,"38 Melba Highway, Yarra Glen, Vic 3775",145.3744442,-37.6614737,85,20
Giant Steps 2014 Sexton Vineyard Pinot Noir (Yarra Valley),Victoria,Yarra Valley,Heales,19,88.25,Pinot Noir,10,17,Giant Steps,89.13,"336 Maroondah Highway, Healesville, Vic 3777",145.5227133,-37.6513402,92,42
Mount Langi Ghiran 2006 Riesling (Victoria),Victoria,Grampians,Buangor,2,89.33,Riesling,1,2,Mount Langi Ghiran,89.43,"80 Vine Road, Buangor, Vic 3375 ",143.152437,-37.3107077,91,21
Marquee 2006 Signature Chardonnay (Yarra Valley),Victoria,Yarra Valley,Coldstream,19,88.25,Chardonnay,11,16,Marquee,85.67,"878-880 Maroondah Hwy, Coldstream VIC 3770",145.4095563,-37.7061012,83,15
Tahbilk 2009 Museum Release Marsanne (Nagambie Lakes),Victoria,Nagambie Lakes,Tabilk ,3,88.07,Marsanne,1,2,Tahbilk,88.58,"254 O'Neils Road, Tabilk, Vic 3608",145.1240786,-36.836604,92,23
Domaine Terlato & Chapoutier 2007 Lieu Dit Malakoff Shiraz (Pyrenees),Victoria,Heathcote,Heathcote ,8,90.46,Shiraz,7,27,Domaine Terlato & Chapoutier,89.86,"141-143 High Street, Heathcote, Vic 3523 ",144.7058405,-36.9193206,92,30
Chambers Rosewood Vineyards NV Muscadelle Tokay (Rutherglen),Victoria,Rutherglen,Rutherglen,5,91.17,Tokay,4,4,Chambers Rosewood Vineyards,92.94,"Barkly St, Rutherglen VIC, Australia",146.4641046,-36.046038,86,15
Innocent Bystander 2009 Moscato (Victoria),Victoria,Yarra Valley,Heales,19,88.25,Moscato,1,1,Innocent Bystander,87.78,"314 Maroondah Highway, Healesville, Vic 3777 ",145.5229,-37.6507,85,12
Syrahmi 2015 Demi by Syrahmi Shiraz (Heathcote),Victoria,Heathcote,Tooborac ,8,90.46,Shiraz,7,27,Syrahmi,92,"2370 Lancefield-Tooborac Road, Tooborac, Vic 3523",144.7593849,-37.1104143,92,32
Chambers Rosewood Vineyards NV Grand Muscadelle (Rutherglen),Victoria,Rutherglen,Rutherglen,5,91.17,Muscadelle,1,1,Chambers Rosewood Vineyards,92.94,"Barkly St, Rutherglen VIC, Australia",146.4641046,-36.046038,94,140
Moorooduc 2012 Robinson Vineyard Pinot Noir (Mornington Peninsula),Victoria,Mornington Peninsula,Moorooduc ,7,89.24,Pinot Noir,6,17,Moorooduc,90.71,"501 Derril Road, Moorooduc, Vic 3936",145.103233,-38.2553909,93,55
Sibling Rivalry 2012 Pinot Noir (Yarra Valley),Victoria,Nagambie Lakes,Tabilk ,3,88.07,Pinot Noir,1,17,Sibling Rivalry,84.5,"254 O'Neils Road, Tabilk, Vic 3608",145.1240786,-36.836604,84,22
De Bortoli 2014 Regional Reserve Pinot Noir (Yarra Valley),Victoria,Yarra Valley,Dixons Creek ,19,88.25,Pinot Noir,10,17,De Bortoli,86.78,"Pinnacle Lane, Dixons Creek, Vic 3775 ",145.3992988,-37.5985954,86,17
Giant Steps 2012 Sexton Vineyard Chardonnay (Yarra Valley),Victoria,Yarra Valley,Heales,19,88.25,Chardonnay,11,16,Giant Steps,89.13,"336 Maroondah Highway, Healesville, Vic 3777",145.5227133,-37.6513402,92,42
De Bortoli 2008 Melba Lucia Cabernet Sauvignon-Sangiovese (Yarra Valley),Victoria,Yarra Valley,Dixons Creek ,19,88.25,Cabernet Sauvignon-Sangiovese,1,1,De Bortoli,86.78,"Pinnacle Lane, Dixons Creek, Vic 3775 ",145.3992988,-37.5985954,88,30
Mount Mary 2010 Quintet Red (Yarra Valley),Victoria,Yarra Valley,Lilydale ,19,88.25,Bordeaux-style Red Blend,5,5,Mount Mary,88.5,"Coldstream West Road, Lilydale, Vic 3140",145.3304123,-37.7154846,89,125
Campbells NV Tokay (Rutherglen),Victoria,Rutherglen,Rutherglen,5,91.17,Tokay,4,4,Campbells,88,"4603 Murray Valley Highway, Rutherglen, Vic 3685",146.4310429,-36.0600116,89,19
Chambers Rosewood Vineyards NV Muscat (Rutherglen),Victoria,Rutherglen,Rutherglen,5,91.17,Muscat,4,4,Chambers Rosewood Vineyards,92.94,"Barkly St, Rutherglen VIC, Australia",146.4641046,-36.046038,89,15
Stanton & Killeen NV Classic Tokay (Rutherglen),Victoria,Rutherglen,Murray,5,91.17,Tokay,4,4,Stanton & Killeen,90.5,"440 Jacks Road, Murray Valley Highway, Rutherglen, VIC 3685 ",146.428788,-36.055416,89,35
Coldstream Hills 2007 Sauvignon Blanc (Yarra Valley),Victoria,Yarra Valley,Coldstream ,19,88.25,Sauvignon Blanc,2,3,Coldstream Hills,86.33,"31 Maddens Lane, Coldstream, Vic 3770",145.4626586,-37.7057191,85,19
Water Wheel 2006 Memsie Shiraz-Cabernet Sauvignon-Malbec Red (Bendigo),Victoria,Bendigo,Bridgewater ,6,88.67,Red Blend,2,4,Water Wheel,87.6,"	Bridgewater-on-Loddon, Bridgewater, Vic 3516 ",143.9421218,-36.604745,87,14
De Bortoli 2014 Regional Reserve Shiraz (Heathcote),Victoria,Yarra Valley,Dixons Creek ,19,88.25,Shiraz,7,27,De Bortoli,86.78,"Pinnacle Lane, Dixons Creek, Vic 3775 ",145.3992988,-37.5985954,89,17
De Bortoli NV Black Noble White (Australia),Victoria,Yarra Valley,Dixons Creek ,19,88.25,White Blend,1,2,De Bortoli,86.78,"Pinnacle Lane, Dixons Creek, Vic 3775 ",145.3992988,-37.5985954,90,38
Sticks 2004 Cabernet Sauvignon (Yarra Valley),Victoria,Yarra Valley,Yarra Glen,19,88.25,Cabernet Sauvignon,3,6,Sticks,87.5,"206 Yarraview Road, Yarra Glen, Vic 3775",145.3695467,-37.6542231,87,17
Tournon by Michel Chapoutier 2012 Shay's Flat Vineyard Shiraz (Pyrenees),Victoria,Heathcote,Heathcote ,8,90.46,Shiraz,7,27,Tournon by Michel Chapoutier,90,"141-143 High Street, Heathcote, Vic 3523",144.7058405,-36.9193206,90,36
Giant Steps 2012 Gladysdale Vineyard Pinot Noir (Yarra Valley),Victoria,Yarra Valley,Heales,19,88.25,Pinot Noir,10,17,Giant Steps,89.13,"336 Maroondah Highway, Healesville, Vic 3777",145.5227133,-37.6513402,86,42
Mount Langi Ghiran 2004 Billi Billi Shiraz (Victoria),Victoria,Grampians,Buangor,2,89.33,Shiraz,2,27,Mount Langi Ghiran,89.43,"80 Vine Road, Buangor, Vic 3375 ",143.152437,-37.3107077,88,14
Stonier 2006 Pinot Noir (Mornington Peninsula),Victoria,Mornington Peninsula,Merricks ,7,89.24,Pinot Noir,6,17,Stonier,89.33,"Cnr Thompson's Lane/Frankston-Flinders Road, Merricks, Vic 3916",145.137762,-38.36615,89,25
Mount Langi Ghiran 2003 Cliff Edge Shiraz (Victoria),Victoria,Grampians,Buangor,2,89.33,Shiraz,2,27,Mount Langi Ghiran,89.43,"80 Vine Road, Buangor, Vic 3375 ",143.152437,-37.3107077,89,18
Tahbilk 2002 Eric Stevens Purbrick Shiraz (Nagambie Lakes),Victoria,Nagambie Lakes,Tabilk ,3,88.07,Shiraz,2,27,Tahbilk,88.58,"254 O'Neils Road, Tabilk, Vic 3608",145.1240786,-36.836604,89,60
R.L. Buller & Son 2004 Limited Release Calliope Shiraz (Rutherglen),Victoria,Rutherglen,Rutherglen ,5,91.17,Shiraz,3,27,R.L. Buller & Son,91,"2804 Federation Way, Rutherglen, Vic 3685",146.4146699,-35.9900669,84,40
Yarra Yering 2009 Underhill Shiraz (Yarra Valley),Victoria,Yarra Valley,Coldstream ,19,88.25,Shiraz,7,27,Yarra Yering,91.18,"Briarty Road, Coldstream, Vic 3770",145.476806,-37.711508,91,95
Coldstream Hills 2009 Sauvignon Blanc (Yarra Valley),Victoria,Yarra Valley,Coldstream ,19,88.25,Sauvignon Blanc,2,3,Coldstream Hills,86.33,"31 Maddens Lane, Coldstream, Vic 3770",145.4626586,-37.7057191,85,
Innocent Bystander 2006 Pinot Gris (Victoria),Victoria,Yarra Valley,Heales,19,88.25,Pinot Gris,1,1,Innocent Bystander,87.78,"314 Maroondah Highway, Healesville, Vic 3777 ",145.5229,-37.6507,88,20
Stonier 2005 Reserve Pinot Noir (Mornington Peninsula),Victoria,Mornington Peninsula,Merricks ,7,89.24,Pinot Noir,6,17,Stonier,89.33,"Cnr Thompson's Lane/Frankston-Flinders Road, Merricks, Vic 3916",145.137762,-38.36615,90,40
Strathewen Hills 2004 Tribal Elder Shiraz (Yarra Valley),Victoria,Yarra Valley,Strathewen,19,88.25,Shiraz,7,27,Strathewen Hills,90,"1090 Strathewen Road, Strathewen VIC 3099, Australia",145.27125,-37.53614,92,70
Balgownie Estate 2013 Shiraz (Bendigo),Victoria,Bendigo,Maiden Gully ,6,88.67,Shiraz,3,27,Balgownie Estate,90.25,"	Hermitage Road, Maiden Gully, Vic 3551",144.1956317,-36.73963,89,25
Yeringberg 2014 Viognier (Yarra Valley),Victoria,Yarra Valley,Coldstream,19,88.25,Viognier,1,3,Yeringberg,88.9,"810 Maroondah Hwy, Coldstream VIC 3770",145.37781,-37.72857,87,60
Fairbank Sutton Grange 2016 Rose (Bendigo),Victoria,Bendigo,Sutton Grange ,6,88.67,Rose,1,2,Fairbank Sutton Grange,89.5,"Carnochans Road, Sutton Grange, Vic 3448",144.3834389,-36.9448631,89,22
Moorooduc 2013 Robinson Chardonnay (Mornington Peninsula),Victoria,Mornington Peninsula,Moorooduc ,7,89.24,Chardonnay,3,16,Moorooduc,90.71,"501 Derril Road, Moorooduc, Vic 3936",145.103233,-38.2553909,93,55
Strathewen Hills 2005 Merlot (Yarra Valley),Victoria,Yarra Valley,Strathewen,19,88.25,Merlot,1,1,Strathewen Hills,90,"1090 Strathewen Road, Strathewen VIC 3099, Australia",145.27125,-37.53614,89,30
Tahbilk 2006 1927 Vines Marsanne (Nagambie Lakes),Victoria,Nagambie Lakes,Tabilk ,3,88.07,Marsanne,1,2,Tahbilk,88.58,"254 O'Neils Road, Tabilk, Vic 3608",145.1240786,-36.836604,90,33
Balgownie Estate 2008 Shiraz (Bendigo),Victoria,Bendigo,Maiden Gully ,6,88.67,Shiraz,3,27,Balgownie Estate,90.25,"	Hermitage Road, Maiden Gully, Vic 3551",144.1956317,-36.73963,91,25
A.T. Richardson 2005 Chockstone Shiraz (Grampians),Victoria,Grampians,Armstrong ,2,89.33,Shiraz,2,27,A.T. Richardson,89,"103 Hard Hill Road, Armstrong, VIC 3377",142.860102,-37.19719,91,22
Tahbilk 2010 Cabernet Sauvignon (Nagambie Lakes),Victoria,Nagambie Lakes,Tabilk ,3,88.07,Cabernet Sauvignon,1,6,Tahbilk,88.58,"254 O'Neils Road, Tabilk, Vic 3608",145.1240786,-36.836604,90,23
Mount Langi Ghiran 2013 Billi Billi Shiraz (Victoria),Victoria,Grampians,Buangor,2,89.33,Shiraz,2,27,Mount Langi Ghiran,89.43,"80 Vine Road, Buangor, Vic 3375 ",143.152437,-37.3107077,90,16
Domaine Terlato & Chapoutier 2005 Shiraz-Viognier (Victoria),Victoria,Heathcote,Heathcote ,8,90.46,Shiraz-Viognier,1,4,Domaine Terlato & Chapoutier,89.86,"141-143 High Street, Heathcote, Vic 3523 ",144.7058405,-36.9193206,91,25
Balgownie Estate 2010 Cabernet Sauvignon (Bendigo),Victoria,Bendigo,Maiden Gully ,6,88.67,Cabernet Sauvignon,1,6,Balgownie Estate,90.25,"	Hermitage Road, Maiden Gully, Vic 3551",144.1956317,-36.73963,92,25
Tournon by Michel Chapoutier 2012 Lady's Lane Vineyard Shiraz (Heathcote),Victoria,Heathcote,Heathcote ,8,90.46,Shiraz,7,27,Tournon by Michel Chapoutier,90,"141-143 High Street, Heathcote, Vic 3523",144.7058405,-36.9193206,91,61
Greenstone 2008 Shiraz (Heathcote),Victoria,Yarra Valley,Yarra Glen,19,88.25,Shiraz,7,27,Greenstone,90,"179 Glenview Road, Yarra Glen, Vic 3775",145.3569642,-37.6580718,88,40
Jasper Hill 2014 Georgia's Paddock Shiraz (Heathcote),Victoria,Heathcote,Ladys Pass,8,90.46,Shiraz,7,27,Jasper Hill,90.89,"88 Drummonds Ln, Ladys Pass VIC 3523",144.660672,-36.853926,91,85
Wild Duck Creek Estate 2008 Yellow Hammer Hill Shiraz-Malbec (Heathcote),Victoria,Heathcote,Heathcote ,8,90.46,Shiraz-Malbec,1,1,Wild Duck Creek Estate,92,"764 Spring Flat Road, Heathcote, Vic 3523",144.7188642,-36.9410711,92,25
Yering Station 2005 Reserve Chardonnay (Yarra Valley),Victoria,Yarra Valley,Yarra Glen ,19,88.25,Chardonnay,11,16,Yering Station,87.53,"38 Melba Highway, Yarra Glen, Vic 3775",145.3744442,-37.6614737,91,45
Mount Mary 2005 Chardonnay (Yarra Valley),Victoria,Yarra Valley,Lilydale ,19,88.25,Chardonnay,11,16,Mount Mary,88.5,"Coldstream West Road, Lilydale, Vic 3140",145.3304123,-37.7154846,90,85
De Bortoli 2007 Reserve Release Chardonnay (Yarra Valley),Victoria,Yarra Valley,Dixons Creek ,19,88.25,Chardonnay,11,16,De Bortoli,86.78,"Pinnacle Lane, Dixons Creek, Vic 3775 ",145.3992988,-37.5985954,89,45
Greenstone 2012 Shiraz (Heathcote),Victoria,Yarra Valley,Yarra Glen,19,88.25,Shiraz,7,27,Greenstone,90,"179 Glenview Road, Yarra Glen, Vic 3775",145.3569642,-37.6580718,92,40
Chambers Rosewood Vineyards NV Grand Muscadelle (Rutherglen),Victoria,Rutherglen,Rutherglen,5,91.17,Muscadelle,1,1,Chambers Rosewood Vineyards,92.94,"Barkly St, Rutherglen VIC, Australia",146.4641046,-36.046038,94,140
Domaine Terlato & Chapoutier 2013 Lieu-Dit Malakoff Shiraz (Pyrenees),Victoria,Heathcote,Heathcote ,8,90.46,Shiraz,7,27,Domaine Terlato & Chapoutier,89.86,"141-143 High Street, Heathcote, Vic 3523 ",144.7058405,-36.9193206,91,40
Yering Station 2005 Reserve Pinot Noir (Yarra Valley),Victoria,Yarra Valley,Yarra Glen ,19,88.25,Pinot Noir,10,17,Yering Station,87.53,"38 Melba Highway, Yarra Glen, Vic 3775",145.3744442,-37.6614737,91,45
De Bortoli 2006 Reserve Release Pinot Noir (Yarra Valley),Victoria,Yarra Valley,Dixons Creek ,19,88.25,Pinot Noir,10,17,De Bortoli,86.78,"Pinnacle Lane, Dixons Creek, Vic 3775 ",145.3992988,-37.5985954,84,60
Campbells NV Tokay (Rutherglen),Victoria,Rutherglen,Rutherglen,5,91.17,Tokay,4,4,Campbells,88,"4603 Murray Valley Highway, Rutherglen, Vic 3685",146.4310429,-36.0600116,91,17
Yering Station 2003 Yarrabank Cuvee Sparkling (Victoria),Victoria,Yarra Valley,Yarra Glen ,19,88.25,Sparkling Blend,2,3,Yering Station,87.53,"38 Melba Highway, Yarra Glen, Vic 3775",145.3744442,-37.6614737,86,28
De Bortoli 2007 Windy Peak Pinot Noir (Victoria),Victoria,Yarra Valley,Dixons Creek ,19,88.25,Pinot Noir,10,17,De Bortoli,86.78,"Pinnacle Lane, Dixons Creek, Vic 3775 ",145.3992988,-37.5985954,85,15
Taltarni 2009 Shiraz (Pyrenees),Victoria,Pyrenees,Moonambel ,2,88.57,Shiraz,2,27,Taltarni,89.6,"339 Taltarni Road, Moonambel, Vic 3478 ",143.2737355,-36.9681523,88,21
De Bortoli 2013 DB Family Selection Chardonnay (Australia),Victoria,Yarra Valley,Dixons Creek ,19,88.25,Chardonnay,11,16,De Bortoli,86.78,"Pinnacle Lane, Dixons Creek, Vic 3775 ",145.3992988,-37.5985954,85,9
Passing Clouds 1998 Graeme's Blend Shiraz-Cabernet Sauvignon (Bendigo),Victoria,Bendigo,Musk ,6,88.67,Shiraz-Cabernet Sauvignon,1,1,Passing Clouds,89,"30 Roddas Lane, Musk, Vic 3461",144.1957377,-37.3756315,86,25
Virgin Hills 1998 Red (Victoria),Victoria,Bendigo,Kyneton ,6,88.67,Red Blend,2,4,Virgin Hills,86,"Salisbury Road, Kyneton, Vic 3444",144.581094,-37.405314,86,30
Tahbilk 2015 Estate Grown and Bottled Marsanne (Nagambie Lakes),Victoria,Nagambie Lakes,Tabilk ,3,88.07,Marsanne,1,2,Tahbilk,88.58,"254 O'Neils Road, Tabilk, Vic 3608",145.1240786,-36.836604,87,18
Campbells 1998 Bobbie Burns Shiraz (Rutherglen),Victoria,Rutherglen,Rutherglen,5,91.17,Shiraz,3,27,Campbells,88,"4603 Murray Valley Highway, Rutherglen, Vic 3685",146.4310429,-36.0600116,83,20
Innocent Bystander 2015 Moscato (Swan Hill),Victoria,Yarra Valley,Heales,19,88.25,Moscato,1,1,Innocent Bystander,87.78,"314 Maroondah Highway, Healesville, Vic 3777 ",145.5229,-37.6507,89,14
Tournon by Michel Chapoutier 2015 Mathilda Rose (Victoria),Victoria,Heathcote,Heathcote ,8,90.46,Rose,1,2,Tournon by Michel Chapoutier,90,"141-143 High Street, Heathcote, Vic 3523",144.7058405,-36.9193206,88,15
Yarra Yering 2010 Dry Red Wine No. 2 Shiraz (Yarra Valley),Victoria,Yarra Valley,Coldstream ,19,88.25,Shiraz,7,27,Yarra Yering,91.18,"Briarty Road, Coldstream, Vic 3770",145.476806,-37.711508,93,90
Jasper Hill 2014 Georgia's Paddock Riesling (Heathcote),Victoria,Heathcote,Ladys Pass,8,90.46,Riesling,1,2,Jasper Hill,90.89,"88 Drummonds Ln, Ladys Pass VIC 3523",144.660672,-36.853926,93,37
Jasper Hill 2004 Emily's Paddock Shiraz-Cabernet Franc Red (Heathcote),Victoria,Heathcote,Ladys Pass,8,90.46,Red Blend,1,4,Jasper Hill,90.89,"88 Drummonds Ln, Ladys Pass VIC 3523",144.660672,-36.853926,84,125
Yering Station 1999 Shiraz (Yarra Valley),Victoria,Yarra Valley,Yarra Glen ,19,88.25,Shiraz,7,27,Yering Station,87.53,"38 Melba Highway, Yarra Glen, Vic 3775",145.3744442,-37.6614737,86,22
Yeringberg 2012 Shiraz (Yarra Valley),Victoria,Yarra Valley,Coldstream,19,88.25,Shiraz,7,27,Yeringberg,88.9,"810 Maroondah Hwy, Coldstream VIC 3770",145.37781,-37.72857,91,80
Mount Langi Ghiran 2004 Cliff Edge Shiraz (Victoria),Victoria,Grampians,Buangor,2,89.33,Shiraz,2,27,Mount Langi Ghiran,89.43,"80 Vine Road, Buangor, Vic 3375 ",143.152437,-37.3107077,87,18
Taltarni 2005 Shiraz (Heathcote),Victoria,Pyrenees,Moonambel ,2,88.57,Shiraz,2,27,Taltarni,89.6,"339 Taltarni Road, Moonambel, Vic 3478 ",143.2737355,-36.9681523,90,35
Ben Haines 2014 Warramunda Reprise Marsanne (Yarra Valley),Victoria,Yarra Valley,Northcote,19,88.25,Marsanne,1,2,Ben Haines,90,"15B Ellesmere Street, Northcote Vic 3070, Australia",145.00726,-37.77341,91,28
Eppalock Ridge 2004 Cabernet Merlot (Heathcote),Victoria,Bendigo,Bendigo ,6,88.67,Cabernet Merlot,1,1,Eppalock Ridge,88,"	6 Niemann Street, Bendigo, Vic 3550",144.275067,-36.750607,88,32
Warramate 2012 Shiraz (Yarra Valley),Victoria,Yarra Valley,Gruyere ,19,88.25,Shiraz,7,27,Warramate,90,"27 Maddens Lane, Gruyere, Vic 3770",145.4626586,-37.7057191,89,
Yeringberg 2013 Chardonnay (Yarra Valley),Victoria,Yarra Valley,Coldstream,19,88.25,Chardonnay,11,16,Yeringberg,88.9,"810 Maroondah Hwy, Coldstream VIC 3770",145.37781,-37.72857,88,35
Water Wheel 2006 Memsie Sauvignon Blanc Semillon Roussanne Chardonnay White (Bendigo),Victoria,Bendigo,Bridgewater ,6,88.67,White Blend,1,2,Water Wheel,87.6,"	Bridgewater-on-Loddon, Bridgewater, Vic 3516 ",143.9421218,-36.604745,83,14
Innocent Bystander 2014 Pinot Gris (Victoria),Victoria,Yarra Valley,Heales,19,88.25,Pinot Gris,1,1,Innocent Bystander,87.78,"314 Maroondah Highway, Healesville, Vic 3777 ",145.5229,-37.6507,86,18
Yabby Lake Vineyard 2005 Pinot Noir (Mornington Peninsula),Victoria,Mornington Peninsula,Tuerong ,7,89.24,Pinot Noir,6,17,Yabby Lake Vineyard,86,"	86-112 Tuerong Road, Tuerong, Vic 3937",145.1211563,-38.2828485,84,48
Yarra Yering 2004 Dry Red Wine No. 1 Red (Yarra Valley),Victoria,Yarra Valley,Coldstream ,19,88.25,Cabernet Blend,1,1,Yarra Yering,91.18,"Briarty Road, Coldstream, Vic 3770",145.476806,-37.711508,92,75
De Bortoli 2014 Estate Grown Pinot Noir (Yarra Valley),Victoria,Yarra Valley,Dixons Creek ,19,88.25,Pinot Noir,10,17,De Bortoli,86.78,"Pinnacle Lane, Dixons Creek, Vic 3775 ",145.3992988,-37.5985954,89,40
Water Wheel 2008 Memsie Shiraz-Malbec-Cabernet Sauvignon Red (Bendigo),Victoria,Bendigo,Bridgewater ,6,88.67,Red Blend,2,4,Water Wheel,87.6,"	Bridgewater-on-Loddon, Bridgewater, Vic 3516 ",143.9421218,-36.604745,88,15
Yabby Lake Vineyard 2008 Pinot Noir (Mornington Peninsula),Victoria,Mornington Peninsula,Tuerong ,7,89.24,Pinot Noir,6,17,Yabby Lake Vineyard,86,"	86-112 Tuerong Road, Tuerong, Vic 3937",145.1211563,-38.2828485,88,50
Yarra Yering 2008 Pinot Noir (Yarra Valley),Victoria,Yarra Valley,Coldstream ,19,88.25,Pinot Noir,10,17,Yarra Yering,91.18,"Briarty Road, Coldstream, Vic 3770",145.476806,-37.711508,88,95
Giant Steps 2012 Applejack Vineyard Pinot Noir (Yarra Valley),Victoria,Yarra Valley,Heales,19,88.25,Pinot Noir,10,17,Giant Steps,89.13,"336 Maroondah Highway, Healesville, Vic 3777",145.5227133,-37.6513402,87,42
De Bortoli 2012 Windy Peak Pinot Noir (Yarra Valley),Victoria,Yarra Valley,Dixons Creek ,19,88.25,Pinot Noir,10,17,De Bortoli,86.78,"Pinnacle Lane, Dixons Creek, Vic 3775 ",145.3992988,-37.5985954,85,18
Jasper Hill 2014 Emily's Paddock Shiraz-Cabernet Franc Red (Heathcote),Victoria,Heathcote,Ladys Pass,8,90.46,Red Blend,1,4,Jasper Hill,90.89,"88 Drummonds Ln, Ladys Pass VIC 3523",144.660672,-36.853926,93,125
Occam's Razor 2014 Shiraz (Heathcote),Victoria,Heathcote,Drummonds Lane  Heathcote ,8,90.46,Shiraz,7,27,Occam's Razor,90,"	c/- Jasper Hill, Drummonds Lane, Heathcote, Vic 3523",144.652723,-36.890903,90,62
Jasper Hill 2007 Cornella Vineyard Grenache (Heathcote),Victoria,Heathcote,Ladys Pass,8,90.46,Grenache,1,1,Jasper Hill,90.89,"88 Drummonds Ln, Ladys Pass VIC 3523",144.660672,-36.853926,87,45
Innocent Bystander 2009 Pinot Gris (Victoria),Victoria,Yarra Valley,Heales,19,88.25,Pinot Gris,1,1,Innocent Bystander,87.78,"314 Maroondah Highway, Healesville, Vic 3777 ",145.5229,-37.6507,88,15
Yeringberg 2014 Chardonnay (Yarra Valley),Victoria,Yarra Valley,Coldstream,19,88.25,Chardonnay,11,16,Yeringberg,88.9,"810 Maroondah Hwy, Coldstream VIC 3770",145.37781,-37.72857,86,35
Punt Road 2013 Chemin Pinot Noir (Yarra Valley),Victoria,Yarra Valley,Coldstream ,19,88.25,Pinot Noir,10,17,Punt Road,87,"10 St Huberts Road, Coldstream, Vic 3770",145.4136537,-37.6911203,87,36
