Wine Title,Province,Region,Suburb,NoOfWineries,RegionPoints,GrapeVariety,NoOfWineriesPlantedByRegion,NoOfWineriesPlantedTotal,Winery,WineryPoints,Address,Winery-long,Winery-lat,Points,Price
Giant Steps 2013 Applejack Vineyard Pinot Noir (Yarra Valley),Victoria,Yarra Valley,Heales,19,88.25,Pinot Noir,10,17,Giant Steps,89.13,"336 Maroondah Highway, Healesville, Vic 3777",145.5227133,-37.6513402,90,42
Giant Steps 2014 Applejack Vineyard Pinot Noir (Yarra Valley),Victoria,Yarra Valley,Heales,19,88.25,Pinot Noir,10,17,Giant Steps,89.13,"336 Maroondah Highway, Healesville, Vic 3777",145.5227133,-37.6513402,90,42
Innocent Bystander 2010 Moscato (Victoria),Victoria,Yarra Valley,Heales,19,88.25,Moscato,1,1,Innocent Bystander,87.78,"314 Maroondah Highway, Healesville, Vic 3777 ",145.5229,-37.6507,87,14
Tahbilk 2006 Shiraz (Nagambie Lakes),Victoria,Nagambie Lakes,Tabilk ,3,88.07,Shiraz,2,27,Tahbilk,88.58,"254 O'Neils Road, Tabilk, Vic 3608",145.1240786,-36.836604,87,19
Innocent Bystander 2012 Pinot Noir (Yarra Valley),Victoria,Yarra Valley,Heales,19,88.25,Pinot Noir,10,17,Innocent Bystander,87.78,"314 Maroondah Highway, Healesville, Vic 3777 ",145.5229,-37.6507,86,20
Campbells 1993 The Barkly Durif (Rutherglen),Victoria,Rutherglen,Rutherglen,5,91.17,Durif,2,2,Campbells,88,"4603 Murray Valley Highway, Rutherglen, Vic 3685",146.4310429,-36.0600116,84,30
Yering Station 2012 Village Pinot Noir (Yarra Valley),Victoria,Yarra Valley,Yarra Glen ,19,88.25,Pinot Noir,10,17,Yering Station,87.53,"38 Melba Highway, Yarra Glen, Vic 3775",145.3744442,-37.6614737,84,26
Yarra Yering 2008 Dry Red Wine No. 2 Shiraz-Viognier (Yarra Valley),Victoria,Yarra Valley,Coldstream ,19,88.25,Shiraz-Viognier,3,4,Yarra Yering,91.18,"Briarty Road, Coldstream, Vic 3770",145.476806,-37.711508,94,95
Moorooduc 2013 Robinson Pinot Noir (Mornington Peninsula),Victoria,Mornington Peninsula,Moorooduc ,7,89.24,Pinot Noir,6,17,Moorooduc,90.71,"501 Derril Road, Moorooduc, Vic 3936",145.103233,-38.2553909,92,55
Moorooduc 2013 The Moorooduc McIntyre Chardonnay (Mornington Peninsula),Victoria,Mornington Peninsula,Moorooduc ,7,89.24,Chardonnay,3,16,Moorooduc,90.71,"501 Derril Road, Moorooduc, Vic 3936",145.103233,-38.2553909,92,65
Innocent Bystander 2008 Pinot Gris (Yarra Valley),Victoria,Yarra Valley,Heales,19,88.25,Pinot Gris,1,1,Innocent Bystander,87.78,"314 Maroondah Highway, Healesville, Vic 3777 ",145.5229,-37.6507,85,20
De Bortoli 2009 Deen De Bortoli Vat 2 Sauvignon Blanc (Australia),Victoria,Yarra Valley,Dixons Creek ,19,88.25,Sauvignon Blanc,2,3,De Bortoli,86.78,"Pinnacle Lane, Dixons Creek, Vic 3775 ",145.3992988,-37.5985954,84,13
Yering Station 2006 Shiraz-Viognier (Yarra Valley),Victoria,Yarra Valley,Yarra Glen ,19,88.25,Shiraz-Viognier,3,4,Yering Station,87.53,"38 Melba Highway, Yarra Glen, Vic 3775",145.3744442,-37.6614737,87,18
Giant Steps 2009 Sexton Vineyard Chardonnay (Yarra Valley),Victoria,Yarra Valley,Heales,19,88.25,Chardonnay,11,16,Giant Steps,89.13,"336 Maroondah Highway, Healesville, Vic 3777",145.5227133,-37.6513402,91,35
Innocent Bystander 2007 Moscato (Victoria),Victoria,Yarra Valley,Heales,19,88.25,Moscato,1,1,Innocent Bystander,87.78,"314 Maroondah Highway, Healesville, Vic 3777 ",145.5229,-37.6507,85,10
